기업명,산업,주요사업
제니엘,상용 인력 공급 및 인사관리 서비스업, 인력공급 고용알선/디스플레이장치용유리 액정표시장치 인쇄회로기판용적층판 광학렌즈 광학요소 제조
삼성생명보험,기타 보험 및 연금관련 서비스업,보험조사손해사정
에이치케이이노엔,완제 의약품 제조업,전문의약품숙취해소음료 제조도소매/부동산 임대/컨설팅
파리크라상,빵류 제조업,식품(제과빙과음료커피) 제조
롯데하이마트,가전제품 소매업,가전제품잡화 도소매/부동산 임대
삼성바이오로직스,생물학적 제제 제조업,바이오의약품 제조
한국콜마,지주회사,회사본부 지주회사 경영컨설팅/화장품 의약부외품의 주문자표시 제조 도매
한국방송공사,지상파 방송업,방송/전시행사 대행/연구개발/임대
삼성에버랜드,직물 도매업,패션건설레져급식식자재 유통리조트바이오
해태제과식품,과자류 및 코코아 제품 제조업,신정훈/이상진
씨제이프레시웨이,음식료·외식·프랜차이즈,식품서비스 신유통 E&M 생명공학
녹십자,완제 의약품 제조업,알부민외 제조판매
오뚜기,면류 마카로니 및 유사식품 제조업, 라면 마요네즈 카레 스프 당면 소오스 토마토케첩 마가린 냉동생지(바게트 크로와상) 참치캔 식초 3분짜장 제조
우아한형제들,응용 소프트웨어 개발 및 공급업,소프트웨어 개발공급
삼성이앤에이,기타 엔지니어링 서비스업,산업설비건물구축물토목시설의 설계시공공사감리
에어코리아,호텔·여행·항공, 항공 여객 운송서비스
천재교육,교과서 및 학습서적 출판업,교과서서적 출판인쇄음반 제조/통신 판매전자상거래
캐논코리아,사무용 기계 및 장비 제조업,전자복사기프린터팩시밀리 제조/전기공사정보통신공사/사진장비광학용품 도매
한국유나이티드제약,제약·보건·바이오, 의약품 제조
한국수자원공사,생활용수 공급업,생활용수 공급/종합건설댐건설관리/부동산 임대
제일기획,광고 대행업,광고 대행/광고물영화 제작인쇄출판
우리은행,국내은행,일반은행신탁금융/보험 대리/부동산 임대/복권 판매대행
한국환경공단,공기업·공공기관,환경관련 엔지니어링 서비스업
하이프라자,가전제품 및 부품 도매업,가전제품 도매/맥아맥주 제조/부동산 임대/가전제품수리
제일파마홀딩스,완제 의약품 제조업,의약품 제조도매
교보문고,서적 신문 및 잡지류 소매업,도서전자학습용품교구 소매/전자상거래/북카페
셀트리온,의약용 화합물 및 항생물질 제조업, 의약품(램시마 트룩시마 허쥬마) 연구 개발 제조
서울아산병원,종합 병원,종합 병원
컬리,전자상거래 소매업, 전자상거래(식품 소비재 뷰티)
한국아이비엠,응용 소프트웨어 개발 및 공급업,소프트웨어하드웨어 개발공급IT컨설팅/전산기전산기부분품 수출의료기기 도소매/대부할부금융투자
한솔섬유,섬유·의류·패션, knit 의류 생산 및 수출
서브원,전자상거래 소매업,물류잡화 전자상거래도소매/사업지원
현대오토에버,솔루션·SI·CRM·ERP,Vehicle IT DT Service Core Technology 등
신용보증기금,일반전기 공사업,일반전기공사정보통신공사/통신용자재 도소매
한국마사회,공기업·공공기관,경주장 운영
서울대학교병원,종합 병원,종합 병원
이디야,비알코올음료 도매업,커피차 도매/커피 전문점
대상,식품가공,전분라이신물엿과당포도당MSG및 사료조미료항생제핵산커피 제조도매/토목공사건축공사
현대그린푸드,기타 음ㆍ식료품 위주 종합 소매업,푸드서비스(단체급식)식자재공산품생식품 유통서비스
삼성전자판매,이동전화기 제조업,휴대폰컴퓨터네트워크시스템핵심칩반도체부품디스플레이패널가전제품의료기기프린터 제조
한국화학연구원,물리 화학 및 생물학 연구개발업,화학 및 생물 산업 분야의 발전에 필요한 국제적 수준의 안전성평가시험 수행 및 기술의 개발
한국생산기술연구원,기타 공학 연구개발업,학술연구용역/부동산 임대
한국전자기술연구원,전기·전자·제어,연구
케이티알파,포털·컨텐츠·커뮤니티,커머스 DX플랫폼 콘텐츠
대우건설,건설·시공·토목·조경,국내외 건축 토목 플랜트 주택 사업
경동나비엔,가정용 비전기식 조리 및 난방 기구 제조업,가정용기름보일러입형횡형 온수보일러가스보일러버너흡수식 냉온수기전기보일러진공온수보일러태양열보일러 제조판매
티맥스소프트,솔루션·SI·CRM·ERP,토탈 S/W 솔루션 업체
소상공인시장진흥공단,산업 단체,소상공인시장진흥공단
부루벨코리아,화장품 및 화장용품 도매업,엠마뉘엘필립드플라스
데상트코리아,섬유·의류·패션,SHIMIZU MOTONARI
